closestWord,word2vec,key_word
flask,0.32876792550086975,pee
rihanna,0.31341296434402466,pee
alleviate,0.30570778250694275,pee
g-wagon,0.2888575792312622,pee
kriss,0.2847558557987213,pee
la-da,0.2808782756328583,pee
g-wagen,0.2800253629684448,pee
jammy,0.27948638796806335,pee
gunshot,0.27541279792785645,pee
effing,0.2751346230506897,pee
fat,0.4109550714492798,ass
urn,0.38147103786468506,ass
hee,0.32454830408096313,ass
dick,0.3154035806655884,ass
crypto,0.3142904043197632,ass
urkel,0.31283217668533325,ass
tappin',0.31097865104675293,ass
bladder,0.2936367392539978,ass
aston,0.29006531834602356,ass
kat,0.28737401962280273,ass
lunatic,0.49456787109375,nelly
t-t-turn,0.3983542323112488,nelly
libs,0.35392850637435913,nelly
busta,0.33944064378738403,nelly
w-w-wait,0.3329586088657379,nelly
'ventador,0.3282591998577118,nelly
ripcord,0.3269704580307007,nelly
vro,0.32187432050704956,nelly
wassuuup,0.32129666209220886,nelly
seduction,0.31944823265075684,nelly
juugs,0.35877329111099243,move
zoowop,0.32152044773101807,move
victor,0.3157752752304077,move
oya,0.3028576672077179,move
dance,0.3024521470069885,move
dupes,0.2895849645137787,move
choo's,0.2872113585472107,move
intoxication,0.286720871925354,move
shout,0.2785138487815857,move
appreciates,0.2757805585861206,move
prettiest,0.3406185209751129,seen
puppy,0.29483094811439514,seen
woah-oh-oh,0.29334473609924316,seen
see,0.29141879081726074,seen
photographs,0.2888314723968506,seen
met,0.284750759601593,seen
craziest,0.2843450903892517,seen
everette,0.28248822689056396,seen
four-door,0.27941590547561646,seen
followers,0.27449357509613037,seen
miracles,0.35326269268989563,believe
hastily,0.3415706753730774,believe
believe-lieve,0.3281022310256958,believe
grayest,0.32419589161872864,believe
hologram,0.3223688006401062,believe
douse,0.3142498731613159,believe
breathe,0.30414286255836487,believe
knockoff,0.30138084292411804,believe
dudududuuu,0.29545050859451294,believe
busin',0.2931163012981415,believe
'tomorrow,0.3583873212337494,way
today',0.3567764461040497,way
say-,0.33186036348342896,way
muah,0.3275076150894165,way
winding,0.3000275492668152,way
love,0.29981791973114014,way
untrue,0.29801034927368164,way
skipped,0.29458579421043396,way
wayside,0.29249143600463867,way
killem,0.2913472652435303,way
questioning,0.3431220054626465,dancer
private,0.3403441905975342,dancer
blitzen,0.3396504521369934,dancer
companion,0.3204711079597473,dancer
off},0.31771183013916016,dancer
prancer,0.3166883587837219,dancer
{i'ma,0.31208714842796326,dancer
pole,0.2967304587364197,dancer
dooby-wop,0.289351224899292,dancer
killem,0.2838437259197235,dancer
nemo,0.35275375843048096,belly
pockets,0.305780827999115,belly
l-l-lick,0.3041907250881195,belly
penis,0.30021968483924866,belly
makaveli,0.29822930693626404,belly
willy,0.29453036189079285,belly
day'll,0.2890051603317261,belly
strumming,0.2824268043041229,belly
vagina,0.2819421887397766,belly
wonka,0.28104063868522644,belly
lumiã¨re,0.37943094968795776,love
y-o-u,0.3644844591617584,love
baby,0.35969167947769165,love
lacing,0.3497137129306793,love
half-life,0.34176385402679443,love
ally,0.3416743576526642,love
intelligence,0.3256077468395233,love
ha-ha-ha-ha,0.325497031211853,love
high-speed,0.3228659927845001,love
include,0.322194367647171,love
wrongs,0.3434651494026184,right
heel,0.32860225439071655,right
sars,0.3226316571235657,right
companion,0.31564995646476746,right
roxanne,0.31520068645477295,right
clarity-,0.31415894627571106,right
ledge,0.3059276342391968,right
oh-na-na,0.29624509811401367,right
filter,0.291850209236145,right
ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh,0.2911171317100525,right
grays,0.3597943186759949,feels
felt,0.3320637345314026,feels
betcha,0.3196147084236145,feels
tenderly,0.30538249015808105,feels
tyrant,0.3034135103225708,feels
becoming,0.2961772680282593,feels
yearnin',0.29561859369277954,feels
metropolis,0.2946578860282898,feels
imagine,0.28820520639419556,feels
bait,0.28521642088890076,feels
sadly,0.3897278904914856,suffocate
singer-writer,0.37426140904426575,suffocate
sort,0.35464611649513245,suffocate
backboard,0.3266441822052002,suffocate
ma-a-a-a-a-a-a-a-an,0.32072633504867554,suffocate
rawkus,0.3205817937850952,suffocate
julien,0.3173235058784485,suffocate
dissed,0.31582707166671753,suffocate
controversy,0.3146781325340271,suffocate
violate,0.31127816438674927,suffocate
aphilliates,0.32537609338760376,lie
he-ey,0.3010847270488739,lie
believing,0.2909492552280426,lie
pretends,0.2779296040534973,lie
a-ain't,0.277543842792511,lie
anything,0.275707870721817,lie
men,0.27522000670433044,lie
thinner,0.27497923374176025,lie
prick,0.2716025710105896,lie
comical,0.26969027519226074,lie
collectible,0.347679078578949,alright
shoobeedoo,0.3336320221424103,alright
sight's,0.31293654441833496,alright
zoe,0.29780569672584534,alright
al-,0.29712098836898804,alright
theï»¿,0.2908805310726166,alright
yeah-ee,0.27569445967674255,alright
murda,0.27400463819503784,alright
strum,0.273448646068573,alright
irreplaceable,0.2731722593307495,alright
gnat,0.3676454424858093,fight
fmj,0.3478240370750427,fight
ogre,0.3389504849910736,fight
ufc,0.3204415440559387,fight
battle,0.3191750645637512,fight
hypebeast,0.30311644077301025,fight
daaaaa,0.2998367249965668,fight
drunk-texting,0.29674166440963745,fight
discipline,0.29488611221313477,fight
ping,0.2933763861656189,fight
exorcise,0.396744042634964,therapy
unfair,0.32752740383148193,therapy
premeditated,0.31451988220214844,therapy
erased,0.29882124066352844,therapy
sideways,0.29790282249450684,therapy
ahem,0.2910516858100891,therapy
a-ain't,0.28825563192367554,therapy
mixin',0.2857757806777954,therapy
laroi,0.2814253568649292,therapy
weaker,0.2812500596046448,therapy
departed,0.3255996108055115,reaching
holding,0.31096842885017395,reaching
confrontation,0.293001264333725,reaching
bonnie,0.2838134765625,reaching
broken-hearted,0.28261640667915344,reaching
vanishing,0.2815845012664795,reaching
roller-coaster,0.2785179316997528,reaching
proving,0.27635714411735535,reaching
fate,0.2728363275527954,reaching
refuse,0.26854729652404785,reaching
bacardi,0.280978798866272,lately
eighteen,0.2800412178039551,lately
howling,0.27557075023651123,lately
runnin',0.2689005732536316,lately
arguments,0.2659115493297577,lately
tippin',0.26194125413894653,lately
hungover,0.260796457529068,lately
chaser,0.26040118932724,lately
upon,0.2572045922279358,lately
gym,0.25674116611480713,lately
aloof,0.38766539096832275,reach
câmon,0.3380458354949951,reach
cleanse,0.3378046751022339,reach
streaming,0.3327275216579437,reach
travelled,0.3263574242591858,reach
downhearted,0.32000482082366943,reach
unafraid,0.31730931997299194,reach
undoubtedly,0.29577600955963135,reach
ocean's,0.29471826553344727,reach
a-a-a-a-awol-w-w-wol-wol,0.29298079013824463,reach
pnb,0.4089168310165405,rock
'n',0.39273494482040405,rock
urn,0.3641679286956787,rock
moonrock,0.32723474502563477,rock
pronounced,0.32579678297042847,rock
plugged,0.3079589605331421,rock
bleek,0.30491572618484497,rock
funkmaster,0.3014935553073883,rock
oya,0.2969343066215515,rock
pacin',0.2918184995651245,rock
dayz,0.35528773069381714,hard
down-do-down,0.3343920409679413,hard
payoff,0.3162737488746643,hard
outchea,0.2987082302570343,hard
harder,0.2924361228942871,hard
zzz's,0.2916584014892578,hard
hustled,0.290058970451355,hard
arcade,0.2864372432231903,hard
juliano,0.2852891981601715,hard
young'n,0.28249314427375793,hard
reag',0.4399431347846985,presidential
thumbin',0.355133593082428,presidential
carti,0.35218942165374756,presidential
rollie,0.3292503356933594,presidential
widers,0.31306642293930054,presidential
bonus,0.31156712770462036,presidential
ronald,0.3114925026893616,presidential
e-z,0.307767391204834,presidential
yo-ho-ho,0.3020738363265991,presidential
roams,0.3009810745716095,presidential
fuse,0.40792128443717957,wick
scammers,0.35694894194602966,wick
prays,0.33826199173927307,wick
lunatic,0.32795944809913635,wick
what'll,0.32778269052505493,wick
pitbull,0.32415878772735596,wick
hitters,0.3228851556777954,wick
oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh,0.3226916193962097,wick
healer,0.3222329318523407,wick
self-conscious,0.32079824805259705,wick
flaming,0.3444591760635376,tunnel
writer,0.32445502281188965,tunnel
wheeling,0.31642791628837585,tunnel
arsenic,0.31625619530677795,tunnel
virus,0.2964233160018921,tunnel
binoculars,0.29092055559158325,tunnel
tends,0.2889288365840912,tunnel
towards,0.2882896661758423,tunnel
climbed,0.2873537242412567,tunnel
norma,0.2830055356025696,tunnel
tock,0.7062268853187561,tick
tick-tock,0.3522670269012451,tick
eeriness,0.33603599667549133,tick
oa,0.3340766429901123,tick
itch,0.3295323848724365,tick
canâ,0.32626473903656006,tick
unexpected,0.3241891860961914,tick
'rarri,0.32230091094970703,tick
plank,0.3216466009616852,tick
b-boom,0.3181469738483429,tick
chka-chka,0.44303280115127563,hi
n'sync,0.31445783376693726,hi
shortly,0.3016113042831421,hi
ahem,0.2972022294998169,hi
cursive,0.28789734840393066,hi
cubans,0.2874256372451782,hi
alcoholic,0.2865517735481262,hi
greet,0.28652748465538025,hi
wayne,0.2830398976802826,hi
kaniff,0.2801682651042938,hi
precipice,0.31510066986083984,short
skirts,0.2976977527141571,short
nuke,0.2913031578063965,short
story's,0.27863970398902893,short
indication,0.27857261896133423,short
wick,0.27773231267929077,short
pickin',0.2724536657333374,short
creeps,0.2724264860153198,short
cliff,0.2582530975341797,short
dementia,0.2569788098335266,short
sister's,0.3530312180519104,still
scarf,0.33021461963653564,still
whoa-ah,0.32923293113708496,still
whoa-whoa-ah,0.31881964206695557,still
outrun,0.2978343367576599,still
preserved,0.2949811816215515,still
hearteater,0.29344454407691956,still
camouflage,0.29339584708213806,still
seventeenth,0.29316073656082153,still
wells,0.2919590473175049,still
w-w-wait,0.4109423756599426,stepdad
bye-bye,0.3852991461753845,stepdad
w-w-w-w-wait,0.37795254588127136,stepdad
corrupt,0.35765713453292847,stepdad
rã©sistance,0.35009709000587463,stepdad
stepfather,0.34398189187049866,stepdad
lunatic,0.3362683057785034,stepdad
worshiped,0.33320724964141846,stepdad
nuttin,0.33031386137008667,stepdad
