song,artist,lyric
White Christmas,Bing Crosby,"I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten
And children listen
To hear sleigh bells in the snow

I'm dreaming of a white Christmas
With every Christmas card I write
May your days be merry and bright
And may all your Christmases be white

I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten
And children listen
To hear sleigh bells in the snow

I'm dreaming of a white Christmas
With every Christmas card I write
May your days be merry and bright
And may all your Christmases be white"
Candle in the Wind 1997,Elton John,"Goodbye England's rose
May you ever grow in our hearts
You were the grace that placed itself
Where lives were torn apart
You called out to our country
And you whispered to those in pain
Now you belong to heaven
And the stars spell out your name

And it seems to me you lived your life
Like a candle in the wind
Never fading with the sunset
When the rain set in
And your footsteps will always fall here
Along England's greenest hills
Your candle's burned out long before
Your legend ever will

Loveliness we've lost
These empty days without your smile
This torch, we'll always carry
For our nation's golden child
And even though we try
The truth brings us to tears
All our words cannot express
The joy you brought us through the years

And it seems to me you lived your life
Like a candle in the wind
Never fading with the sunset
When the rain set in
And your footsteps will always fall here
Along England's greenest hills
Your candle's burned out long before
Your legend ever will

Goodbye England's rose
May you ever grow in our hearts
You were the grace that placed itself
Where lives were torn apart
Goodbye England's rose
From a country lost without your soul
Who'll miss the wings of your compassion
More than you will ever know

And it seems to me you lived your life
Like a candle in the wind
Never fading with the sunset
When the rain set in
And your footsteps will always fall here
Along England's greenest hills
Your candle's burned out long before
Your legend ever will

And your footsteps will always fall here
Along England's greenest hills
Your candle's burned out long before
Your legend ever will"
We Are the World,USA for Africa,0
"Rudolph, the Red-Nosed Reindeer",Gene Autry,"You know Dasher and Dancer
And Prancer and Vixen
Comet and Cupid
And Donner and Blitzen
But do you recall
The most famous reindeer of all?

Rudolph the red-nosed reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glows

All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games

Then one foggy Christmas Eve
Santa came to say
""Rudolph with your nose so bright
Won't you guide my sleigh tonight?""

Then how the reindeer loved him
As they shouted out with glee
""Rudolph the red-nosed reindeer
You'll go down in history!""

Rudolph the red-nosed reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glows

All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games

Then one foggy Christmas Eve
Santa came to say
""Rudolph with your nose so bright
Won't you guide my sleigh tonight?""

Then how the reindeer loved him
As they shouted out with glee
""Rudolph the red-nosed reindeer
You'll go down in history!"""
Paper Doll,Mills Brothers,0
The Tennessee Waltz,Patti Page,"I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling the night they were playing
The beautiful Tennessee Waltz

I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling the night they were playing
The beautiful Tennessee Waltz"
"Hound Dog"" / ""Don't Be Cruel",Elvis Presley,0
That Silver-Haired Daddy Of Mine,Gene Autry,"In a vine-covered shack in the mountains
Bravely fighting the battle of time
There's a dear one who's weathered life's sorrows
It's that silver-haired daddy of mine

If I could recall all the heartaches
Dear old daddy, I've caused you to bear
If I could erase those lines from your face
And bring back the gold to your hair

If God would but grant me the power
Just to turn back the pages of time
I'd give all I own if I could but atone
To that silver-haired daddy of mine

I know it's too late, dear old daddy
To repay for the sorrows and cares
Tho' dear mother is waiting in Heaven
Just to comfort and solace you there"
The Ballad of the Green Berets,Barry Sadler,0
Dardanella,Ben Selvin,0
My Blue Heaven,Gene Austin,0
I Will Always Love You,Whitney Houston,"If I should stay
I would only be in your way
So I'll go but I know
I'll think of you every step of the way

And I will always love you
I will always love you
You
My darling, you
Mmm-mm

Bittersweet memories –
That is all I'm taking with me
So good-bye
Please don't cry:
We both know I'm not what you, you need

And I... will always love you
I... will always love you
You, ooh

I hope life treats you kind
And I hope you have all you've dreamed of
And I'm wishing you joy and happiness
But above all this, I wish you love

And I... will always love you
I will always love you
I will always love you
I will always love you

I will always love you
I, I will always love you

You
Darling, I love you
I'll always
I'll always love you
Ooh
Ooh"
