artist,song,album,album2
Bing Crosby,Silent Night,Merry Christmas,Merry Christmas
Bing Crosby,Adeste Fideles,Merry Christmas,Merry Christmas
Bing Crosby,White Christmas,Merry Christmas,Merry Christmas
Bing Crosby,Let's Start The New Year Right,Merry Christmas,Merry Christmas
Bing Crosby,I'll Be Home For Christmas,Merry Christmas,Merry Christmas
Bing Crosby,Danny Boy,Merry Christmas,Merry Christmas
Bing Crosby,Faith Of Our Fathers,Merry Christmas,Merry Christmas
Bing Crosby,God Rest Ye Merry Gentlemen,Merry Christmas,Merry Christmas
Bing Crosby,Jingle Bells,Merry Christmas,Merry Christmas
Bing Crosby,Santa Claus Is Coming To Town,Merry Christmas,Merry Christmas
Bing Crosby,Silver Bells,Merry Christmas,Merry Christmas
Bing Crosby,It's Beginning To Look A Lot Like Christmas,Merry Christmas,Merry Christmas
Bing Crosby,Christmas In Killarney,Merry Christmas,Merry Christmas
Bing Crosby,Mele Kalikimaka,Merry Christmas,Merry Christmas
Bing Crosby,Do You Hear What I Hear?,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,Let It Snow! Let It Snow! Let It Snow!,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,Winter Wonderland,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,Hark! The Herald Angels Sing / It Came Upon A Midnight Clear,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,The Littlest Angel,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,The Little Drummer Boy,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,Frosty The Snowman,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,"Christmas Dinner, Country Style",I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,O Holy Night,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,What Child Is This? / The Holly And The Ivy,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,Have Yourself A Merry Little Christmas,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,I Wish You A Merry Christmas,I Wish You A Merry Christmas,I Wish You A Merry Christmas
Bing Crosby,(I Don't Stand) A Ghost Of A Chance,,(I Don't Stand) A Ghost Of A Chance
Bing Crosby,Adios Senorita,,Adios Senorita
Bing Crosby,Adventures In Paradise,,Adventures In Paradise
Bing Crosby,After You've Gone,,After You've Gone
Bing Crosby,Along The Santa Fe Trail,,Along The Santa Fe Trail
Bing Crosby,An Apple For The Teacher,,An Apple For The Teacher
Bing Crosby,April Played The Fiddle,,April Played The Fiddle
Bing Crosby,As Time Goes By,,As Time Goes By
Bing Crosby,Be Honest With Me,,Be Honest With Me
Bing Crosby,Between A Kiss And A Sigh,,Between A Kiss And A Sigh
Bing Crosby,Between The Devil And The Deep Blue Sea,,Between The Devil And The Deep Blue Sea
Bing Crosby,Birds Of A Feather,,Birds Of A Feather
Bing Crosby,Bon Vivant,,Bon Vivant
Bing Crosby,"Brother, Can You Spare A Dime?",,"Brother, Can You Spare A Dime?"
Bing Crosby,Can't We Talk It Over?,,Can't We Talk It Over?
Bing Crosby,Chicago,,Chicago
Bing Crosby,Clementine,,Clementine
Bing Crosby,Constantly,,Constantly
Bing Crosby,Dancing In The Dark,,Dancing In The Dark
Bing Crosby,Deep In The Heart Of Texas,,Deep In The Heart Of Texas
Bing Crosby,Did You Ever See A Dream Walking?,,Did You Ever See A Dream Walking?
Bing Crosby,Dinah,,Dinah
Bing Crosby,Do You Ever Think Of Me?,,Do You Ever Think Of Me?
Bing Crosby,Don't Fence Me In,,Don't Fence Me In
Bing Crosby,Dream A Little Dream Of Me,,Dream A Little Dream Of Me
Bing Crosby,Empty Saddles (In The Old Corral),,Empty Saddles (In The Old Corral)
Bing Crosby,From Monday On,,From Monday On
Bing Crosby,Georgia On My Mind,,Georgia On My Mind
Bing Crosby,Getting To Know You,,Getting To Know You
Bing Crosby,Go Fly A Kite,,Go Fly A Kite
Bing Crosby,Happy Holiday,,Happy Holiday
Bing Crosby,Here Comes Santa Claus,,Here Comes Santa Claus
Bing Crosby,Home On The Range,,Home On The Range
Bing Crosby,I Can't Give You Anything But Love,,I Can't Give You Anything But Love
Bing Crosby,I Have Eyes,,I Have Eyes
Bing Crosby,I Haven't Time To Be A Millionaire,,I Haven't Time To Be A Millionaire
Bing Crosby,I Never Knew (I Could Love Anybody),,I Never Knew (I Could Love Anybody)
