song,artist,released,actual_sales,times_platinum
White Christmas,Bing Crosby,1941,25,4×
Candle in the Wind 1997,Elton John,1997,8.84,11×
We Are the World,USA for Africa,1985,8,4×
"Rudolph, the Red-Nosed Reindeer",Gene Autry,1949,7,None
Paper Doll,Mills Brothers,1943,6,None
The Tennessee Waltz,Patti Page,1948,6,None
"Hound Dog"" / ""Don't Be Cruel",Elvis Presley,1956,5,4×
That Silver-Haired Daddy Of Mine,Gene Autry,1935,5,None
The Ballad of the Green Berets,Barry Sadler,1966,5,None
Dardanella,Ben Selvin,1919,5,None
My Blue Heaven,Gene Austin,1928,5,None
I Will Always Love You,Whitney Houston,1992,4.6,10×
Macarena,Los del Río,1996,4.3,4×
(Everything I Do) I Do It for You,Bryan Adams,1991,4.1,3×
Le Freak,Chic,1978,4,1×
I Heard It Through the Grapevine,Marvin Gaye,1968,4,None
I'm a Believer,the Monkees,1966,4,None
You Light Up My Life,Debby Boone,1977,4,1×
Hey Jude,The Beatles,1968,4,4×
Whoomp! (There It Is),Tag Team,1993,4,4×
Old Town Road,Lil Nas X featuring Billy Ray Cyrus,2019,1.6,16×
Radioactive,Imagine Dragons,2012,8.2,14×
Somebody That I Used to Know,Gotye featuring Kimbra,2011,7.9,14×
Closer,The Chainsmokers featuring Halsey,2016,2.3,14x
All of Me,John Legend,2014,6.0,13×
Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber,2017,2.7,13×
Just the Way You Are,Bruno Mars,2010,6.7,13×
Firework,Katy Perry,2010,7.4,12×
Love the Way You Lie,Eminem featuring Rihanna,2010,6.5,12×
Thinking Out Loud,Ed Sheeran,2014,6.0,12×
Baby,Justin Bieber featuring Ludacris,2010,3.9,12×
Uptown Funk,Mark Ronson featuring Bruno Mars,2014,8.1,11×
Cruise,Florida Georgia Line,2012,7.6,11×
Happy,Pharrell Williams,2014,6.9,11×
Dark Horse,Katy Perry featuring Juicy J,2013,6.3,11×
Bad Romance,Lady Gaga,2009,5.9,11×
When I Was Your Man,Bruno Mars,2013,3.9,11×
See You Again,Wiz Khalifa ft. Charlie Puth,2015,3.4,11×
The Hills,The Weeknd,2015,2.9,11×
God's Plan,Drake,2018,1.1,11x
Congratulations,Post Malone ft. Quavo,2016,1.0,11×
Meant to Be,Bebe Rexha featuring Florida Georgia Line,2018,1.0,11×
Sunflower,Post Malone and Swae Lee,2018,0.7,11×
Baby Shark,Pinkfong,2016,—,11×
I Gotta Feeling,The Black Eyed Peas,2009,8.7,10×
Party Rock Anthem,LMFAO feat Lauren Bennett & GoonRock,2011,8.1,10×
Call Me Maybe,Carly Rae Jepsen,2011,7.6,10×
Poker Face,Lady Gaga,2008,7.5,10×
Lose Yourself,Eminem,2002,7.4,10×
We Are Young,fun. featuring Janelle Monáe,2011,6.8,10×
Moves like Jagger,Maroon 5 featuring Christina Aguilera,2011,6.7,10×
Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,2013,6.5,10×
Roar,Katy Perry,2013,6.4,10×
Thrift Shop,Macklemore and Ryan Lewis featuring Wanz,2013,6.2,10×
Sail,Awolnation,2010,6.1,10×
Party in the U.S.A.,Miley Cyrus,2009,6.0,10×
All About That Bass,Meghan Trainor,2014,5.8,10×
Shake It Off,Taylor Swift,2014,5.4,10×
Counting Stars,OneRepublic,2013,5.3,10×
Grenade,Bruno Mars,2010,5.0,10x
Not Afraid,Eminem,2010,5.0,10×
Stronger,Kanye West,2007,5.0,10×
Demons,Imagine Dragons,2013,4.6,10×
I Will Always Love You,Whitney Houston,1992,4.6,10x
Royals,Lorde,2013,4.4,10×
I'm Yours,Jason Mraz,2008,4.4,10×
Bohemian Rhapsody,Queen,1975,4.4,10×
"Hey, Soul Sister",Train,2009,4.3,10×
Stay with Me,Sam Smith,2014,4.1,10x
Pumped Up Kicks,Foster the People,2010,3.8,10×
All I Want For Christmas Is You,Mariah Carey,1994,3.5,10×
Trap Queen,Fetty Wap,2015,2.7,10×
Perfect,Ed Sheeran,2017,2.6,10×
Shape of You,Ed Sheeran,2017,2.5,10×
Stressed Out,Twenty One Pilots,2015,2.5,10×
Sorry,Justin Bieber,2016,2.0,10×
That's What I Like,Bruno Mars,2017,1.7,10×
Believer,Imagine Dragons,2017,1.6,10×
I Like It,"Cardi B, Bad Bunny and J Balvin",2018,1.0,10×
Girls Like You,Maroon 5 featuring Cardi B,2018,0.9,10×
Rockstar,Post Malone featuring 21 Savage,2017,0.8,10×
Havana,Camila Cabello featuring Young Thug,2017,0.8,10×
Life Is Good,Future featuring Drake,2020,0.2,10×
The Box,Roddy Ricch,2019,0.2,10×
Bodak Yellow,Cardi B,2017,—,10×
Lean On,Major Lazer and DJ Snake featuring MØ,2015,—,10×
Low,Flo Rida featuring T-Pain,2007,—,10×
Sad!,XXXTentacion,2018,—,10×
Sicko Mode,Travis Scott,2018,—,10×
Tennessee Whiskey,Chris Stapleton,2015,—,10×
Lucid Dreams,Juice WRLD,2018,—,10×
Superbass,Nicki Minaj,2011,—,10×
